,Country,Region,Pop. Density,Infant mortality,GDP
155,Oman ,NEAR EAST                          ,14.6,19.51,13100
156,Pakistan ,ASIA (EX. NEAR EAST)         ,206.2,72.44,2100
157,Palau ,OCEANIA                            ,44.9,14.84,9000
158,Panama ,LATIN AMER. & CARIB    ,40.8,20.47,6300
159,Papua New Guinea ,OCEANIA                            ,12.3,51.45,2200
160,Paraguay ,LATIN AMER. & CARIB    ,16.0,25.63,4700
161,Peru ,LATIN AMER. & CARIB    ,22.0,31.94,5100
162,Philippines ,ASIA (EX. NEAR EAST)         ,298.2,23.51,4600
163,Poland ,EASTERN EUROPE                     ,123.3,8.51,11100
164,Portugal ,WESTERN EUROPE                     ,114.8,5.05,18000
165,Puerto Rico ,LATIN AMER. & CARIB    ,284.8,8.24,16800
166,Qatar ,NEAR EAST                          ,77.4,18.61,21500
167,Reunion ,SUB-SAHARAN AFRICA                 ,312.9,7.78,5800
168,Romania ,EASTERN EUROPE                     ,93.9,26.43,7000
169,Russia ,C.W. OF IND. STATES ,8.4,15.39,8900
170,Rwanda ,SUB-SAHARAN AFRICA                 ,328.4,91.23,1300
171,Saint Helena ,SUB-SAHARAN AFRICA                 ,18.2,19.0,2500
172,Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,149.9,14.49,8800
173,Saint Lucia ,LATIN AMER. & CARIB    ,273.5,13.53,5400
174,St Pierre & Miquelon ,NORTHERN AMERICA                   ,29.0,7.54,6900
175,Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,303.0,14.78,2900
176,Samoa ,OCEANIA                            ,60.1,27.71,5600
177,San Marino ,WESTERN EUROPE                     ,479.5,5.73,34600
178,Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193.2,43.11,1200
180,Senegal ,SUB-SAHARAN AFRICA                 ,61.1,55.51,1600
181,Serbia ,EASTERN EUROPE                     ,106.3,12.89,2200
183,Sierra Leone ,SUB-SAHARAN AFRICA                 ,83.7,143.64,500
184,Singapore ,ASIA (EX. NEAR EAST)         ,6482.2,2.29,23700
185,Slovakia ,EASTERN EUROPE                     ,111.4,7.41,13300
186,Slovenia ,EASTERN EUROPE                     ,99.2,4.45,19000
